# ################
# FRESCO HA emitter catalogue v2
# root: GOODS fields identifier: fresco-only-n-v2 and fresco-only-s-v2 for single-component sources; multigalaxies-GN and multigalaxies-GS for multi-component sources
# id: ID from the FRESCO grizli data reduction v7.3
# multi_ids: for multi-component galaxies, id number of each component
# ra, dec: coordinates of the source in the F210M+F444W image from the FRESCO grizli data reduction v7.3 (also see further Weibel+2024)
# q_mean : Visual inspection quality flag, averaged over 4 inspections
# z : redshift of the HA emitter
# flux_HA, err_HA : grizli best-fit line flux and error using a fixed redshift in cgi units [erg/s/cm**2]
# Muv, Muv_err: rest-frame absolute UV magnitude [AB] and error from the fluxes of filters that lay on the rest-frame UV
# flux_det_img, flux_det_img_err: combined F444W+F210M flux and error in nJy from the FRESCO grizli data reduction v7.3. PSF-matched, aperture-corrected fluxes and errors with 5% error floor (also see further Weibel+2024 for details on the imaging data reduction)
# ################
root id multi_ids ra dec q_mean z flux_HA err_HA Muv Muv_err flux_det_img flux_det_img_err
fresco-only-n-v2 2895 - 189.18794 62.2972200 3.0 5.452 1.881e-18 2.513e-19 -19.146 0.088 36.397 4.632
fresco-only-n-v2 2989 - 189.17297 62.2964900 1.75 5.543 2.254e-18 3.772e-19 -20.547 0.086 153.802 9.910
fresco-only-n-v2 3375 - 189.13185 62.2935700 2.0 5.306 2.721e-18 2.037e-19 -18.995 0.064 42.740 5.544
fresco-only-n-v2 3549 - 189.17931 62.2925400 3.0 5.359 1.249e-17 3.014e-19 -20.261 0.029 259.126 6.493
fresco-only-n-v2 3802 - 189.11511 62.2908100 2.5 6.006 2.764e-18 1.797e-19 -20.156 0.031 66.364 4.879
fresco-only-n-v2 3814 - 189.12195 62.2910100 3.0 5.301 2.536e-18 2.716e-19 -19.883 0.134 131.096 10.703
fresco-only-n-v2 3869 - 189.14004 62.2918300 3.0 5.591 3.542e-18 3.903e-19 -20.320 0.068 153.609 10.813
fresco-only-n-v2 4199 - 189.2828 62.2890400 3.0 4.999 2.020e-18 2.696e-19 -19.114 0.123 41.025 3.101
fresco-only-n-v2 4332 - 189.1598 62.2879600 2.75 5.275 2.632e-18 3.001e-19 -19.753 0.070 63.524 6.481
fresco-only-n-v2 4427 - 189.28455 62.2874700 3.0 5.948 3.427e-18 3.887e-19 -20.244 0.023 103.463 5.707
fresco-only-n-v2 4581 - 189.131 62.2868300 3.0 5.269 4.494e-18 3.444e-19 -19.593 0.099 178.299 7.507
fresco-only-n-v2 4823 - 189.23596 62.2855500 2.25 5.194 2.954e-18 2.274e-19 -18.883 0.095 77.525 5.218
fresco-only-n-v2 5107 - 189.10882 62.2842200 3.0 4.934 3.941e-18 3.570e-19 -19.547 0.077 73.438 6.594
fresco-only-n-v2 5122 - 189.19693 62.2845000 3.0 5.191 2.726e-18 2.208e-19 -20.540 0.031 150.979 5.657
fresco-only-n-v2 5423 - 189.25422 62.2829800 2.0 5.966 1.639e-18 3.434e-19 -20.288 0.111 118.737 6.678
fresco-only-n-v2 5896 - 189.28553 62.2807700 2.0 5.087 3.870e-18 2.245e-19 -18.064 0.082 132.760 3.546
fresco-only-n-v2 6332 - 189.18074 62.2822400 2.75 5.184 7.420e-18 3.359e-19 -20.162 0.055 177.812 7.179
fresco-only-n-v2 6371 - 189.19686 62.2788900 3.0 5.775 1.417e-18 2.164e-19 -18.946 0.282 23.686 3.410
fresco-only-n-v2 6558 - 189.11517 62.2781300 2.5 5.492 2.052e-18 2.296e-19 -18.966 0.442 30.003 5.475
fresco-only-n-v2 6583 - 189.11151 62.2779500 3.0 5.636 4.839e-18 3.322e-19 -20.060 0.077 131.415 6.363
fresco-only-n-v2 6732 - 189.29627 62.2773700 3.0 5.194 1.529e-17 4.544e-19 -20.848 0.067 391.791 6.511
fresco-only-n-v2 6840 - 189.16965 62.2770600 1.75 5.188 3.049e-18 2.954e-19 -19.101 0.100 60.271 5.591
fresco-only-n-v2 7193 - 189.30718 62.2758600 3.0 5.197 3.187e-18 2.788e-19 -18.957 0.074 42.662 4.468
fresco-only-n-v2 7348 - 189.17565 62.2752800 2.25 5.301 1.554e-18 1.506e-19 -19.329 0.069 77.790 4.365
fresco-only-n-v2 7550 - 189.06427 62.2742800 2.5 5.149 2.609e-18 2.304e-19 -19.964 0.069 180.862 13.773
fresco-only-n-v2 7653 - 189.23902 62.2740500 2.25 5.194 1.953e-18 2.297e-19 -18.729 0.064 35.532 2.864
fresco-only-n-v2 7776 - 189.09898 62.2736000 1.75 5.674 2.916e-18 3.693e-19 -18.775 0.256 122.222 7.246
fresco-only-n-v2 7784 - 189.12302 62.2736300 2.0 5.315 1.494e-18 2.328e-19 -18.810 0.112 34.526 5.784
fresco-only-n-v2 7827 - 189.07208 62.2734300 3.0 5.145 4.116e-18 1.579e-19 -18.964 0.080 91.840 5.847
fresco-only-n-v2 7888 - 189.31512 62.2732100 2.75 5.186 5.238e-18 3.186e-19 -20.965 0.025 243.572 6.056
fresco-only-n-v2 7965 - 189.1283 62.2729700 2.0 5.439 1.345e-18 2.030e-19 -18.669 0.075 28.406 4.561
fresco-only-n-v2 8010 - 189.28937 62.2728500 3.0 5.699 2.312e-18 3.402e-19 -19.270 0.046 38.418 5.884
fresco-only-n-v2 8288 - 189.28868 62.2718200 3.0 5.775 3.432e-18 4.783e-19 -20.529 0.044 178.461 6.616
fresco-only-n-v2 8313 - 189.3403 62.2717600 2.5 5.042 3.444e-18 2.633e-19 -19.288 0.095 45.829 5.791
fresco-only-n-v2 8445 - 189.33162 62.2711600 3.0 5.304 5.369e-18 2.605e-19 -19.488 0.153 104.908 4.944
fresco-only-n-v2 8479 - 189.32731 62.2710900 2.75 5.195 2.875e-18 2.069e-19 -18.867 0.185 36.683 4.124
fresco-only-n-v2 8545 - 189.24347 62.2708100 2.5 5.192 3.865e-18 3.347e-19 -20.276 0.066 121.757 5.157
fresco-only-n-v2 8854 - 189.3433 62.2697800 2.5 5.193 4.162e-18 2.818e-19 -20.574 0.045 126.540 7.219
fresco-only-n-v2 8899 - 189.18885 62.2699000 3.0 5.017 3.559e-18 2.665e-19 -20.147 0.049 122.859 6.638
fresco-only-n-v2 9088 - 189.27767 62.2690800 2.0 5.194 4.161e-18 3.574e-19 -18.952 0.083 49.019 4.028
fresco-only-n-v2 9123 - 189.05706 62.2689400 3.0 5.245 3.099e-18 1.437e-19 -18.212 0.197 111.146 6.011
fresco-only-n-v2 9146 - 189.06878 62.2688700 2.0 5.474 2.393e-18 2.117e-19 -20.112 0.080 77.116 5.727
fresco-only-n-v2 9252 - 189.08801 62.2687300 2.5 5.142 4.479e-18 3.889e-19 -21.175 0.032 234.551 10.148
fresco-only-n-v2 9299 - 189.26058 62.2682700 1.75 5.188 1.012e-17 3.716e-19 -20.507 0.088 177.175 5.518
fresco-only-n-v2 9362 - 189.21808 62.2680800 2.5 5.188 9.526e-18 5.073e-19 -20.969 0.050 334.307 8.140
fresco-only-n-v2 9463 - 189.27322 62.2677600 2.75 5.192 7.739e-18 4.299e-19 -20.834 0.028 221.615 4.729
fresco-only-n-v2 9492 - 189.31547 62.2674900 3.0 5.188 8.445e-18 4.889e-19 -20.339 0.058 601.440 11.090
fresco-only-n-v2 9533 - 189.33231 62.2674300 2.25 5.303 2.461e-18 2.398e-19 -19.846 0.074 112.440 4.385
fresco-only-n-v2 9553 - 189.19509 62.2675200 3.0 5.677 1.775e-18 2.406e-19 -19.026 0.060 32.593 3.844
fresco-only-n-v2 9566 - 189.08706 62.2673800 2.25 5.133 3.749e-18 2.802e-19 -19.098 0.083 58.427 7.218
fresco-only-n-v2 9688 - 189.27301 62.2670400 2.5 5.195 4.111e-18 3.106e-19 -19.242 0.065 53.282 3.459
fresco-only-n-v2 9725 - 189.27661 62.2669000 1.75 5.224 1.745e-18 2.500e-19 -18.693 0.041 25.528 2.861
fresco-only-n-v2 10020 - 189.1708 62.2659800 3.0 6.021 1.358e-18 2.271e-19 -18.721 0.148 26.639 3.067
fresco-only-n-v2 10444 - 189.24801 62.2644300 3.0 5.016 9.927e-19 1.984e-19 -18.953 0.183 29.359 3.544
fresco-only-n-v2 10502 - 189.14572 62.2642600 3.0 5.266 2.864e-18 2.020e-19 -20.036 0.072 125.213 7.111
fresco-only-n-v2 10648 - 189.16211 62.2638200 3.0 6.315 2.804e-18 2.541e-19 -20.594 0.062 100.091 4.687
fresco-only-n-v2 10724 - 189.2308 62.2635400 3.0 5.190 3.540e-18 1.910e-19 -19.956 0.052 86.469 3.628
fresco-only-n-v2 10745 - 189.34429 62.2633700 3.0 5.240 1.488e-17 3.947e-19 -19.281 0.040 299.863 6.263
fresco-only-n-v2 10793 - 189.03952 62.2632700 2.75 5.591 3.864e-18 2.135e-19 -20.233 0.144 91.861 6.653
fresco-only-n-v2 10878 - 189.03697 62.2629700 2.25 5.594 1.395e-18 1.781e-19 -18.630 0.181 37.482 5.112
fresco-only-n-v2 10916 - 189.34227 62.2628100 3.0 5.240 5.261e-18 5.102e-19 -20.932 0.041 284.002 10.018
fresco-only-n-v2 10975 - 189.04668 62.2627000 1.75 5.246 1.193e-18 1.648e-19 -18.879 0.146 33.772 5.111
fresco-only-n-v2 11048 - 189.25691 62.2626900 3.0 5.350 1.534e-18 3.040e-19 -19.818 0.045 65.598 4.293
fresco-only-n-v2 11445 - 189.32448 62.2613300 1.75 5.193 2.756e-18 2.294e-19 -20.269 0.066 152.711 8.251
fresco-only-n-v2 11484 - 189.3282 62.2612000 3.0 5.771 1.484e-18 2.081e-19 -19.464 0.236 45.058 3.716
fresco-only-n-v2 11533 - 189.25411 62.2610800 3.0 5.017 4.326e-18 3.277e-19 -19.554 0.038 56.900 3.706
fresco-only-n-v2 11625 - 189.20515 62.2607100 3.0 5.188 1.734e-17 4.123e-19 -21.584 0.024 340.614 6.836
fresco-only-n-v2 11671 - 189.13718 62.2606300 3.0 5.599 3.765e-18 2.200e-19 -19.801 0.079 86.796 4.844
fresco-only-n-v2 11722 - 189.28218 62.2603800 3.0 5.271 5.647e-18 5.877e-19 -20.519 0.094 259.806 11.550
fresco-only-n-v2 11784 - 189.31336 62.2602100 1.75 5.158 3.381e-18 2.303e-19 -19.440 0.138 72.146 6.351
fresco-only-n-v2 11879 - 189.31387 62.2598700 3.0 5.195 7.721e-18 3.142e-19 -20.012 0.102 214.535 7.436
fresco-only-n-v2 11949 - 189.10639 62.2597000 3.0 5.423 4.631e-18 2.634e-19 -19.793 0.054 98.882 6.199
fresco-only-n-v2 12010 - 189.06944 62.2594400 3.0 5.363 6.791e-18 3.199e-19 -20.682 0.032 200.025 7.702
fresco-only-n-v2 12049 - 189.20056 62.2594400 3.0 5.601 4.647e-18 2.904e-19 -20.458 0.075 98.163 4.386
fresco-only-n-v2 12165 - 189.31042 62.2590000 2.25 5.192 5.075e-18 3.292e-19 -21.042 0.070 244.204 11.697
fresco-only-n-v2 12385 - 189.14178 62.2584300 3.0 4.940 2.854e-18 2.506e-19 -19.811 0.066 67.377 5.846
fresco-only-n-v2 12540 - 189.29615 62.2579700 3.0 6.404 3.118e-18 3.213e-19 -20.010 0.110 63.572 5.769
fresco-only-n-v2 12650 - 189.36032 62.2575400 2.5 5.222 4.561e-18 3.491e-19 -20.238 0.025 119.791 7.564
fresco-only-n-v2 12662 - 189.23483 62.2574800 2.75 5.187 1.242e-17 3.357e-19 -20.688 0.063 278.223 5.068
fresco-only-n-v2 12667 - 189.16013 62.2575500 2.75 5.188 6.449e-18 4.429e-19 -20.313 0.076 276.271 10.874
fresco-only-n-v2 12926 - 189.02916 62.2566500 3.0 5.017 1.740e-18 1.566e-19 -19.052 0.103 69.613 5.105
fresco-only-n-v2 12982 - 189.0602 62.2565200 3.0 5.362 7.347e-18 3.496e-19 -19.761 0.056 147.014 5.862
fresco-only-n-v2 12994 - 189.13308 62.2565500 3.0 5.271 2.072e-18 1.917e-19 -19.262 0.094 40.939 3.649
fresco-only-n-v2 13046 - 189.32822 62.2563100 3.0 5.306 1.558e-17 5.360e-19 -21.509 0.031 657.713 8.419
fresco-only-n-v2 13064 - 189.27696 62.2563300 3.0 5.234 3.573e-18 3.160e-19 -20.799 0.037 148.003 6.866
fresco-only-n-v2 13236 - 189.3627 62.2557900 3.0 5.961 3.283e-18 2.883e-19 -19.830 0.040 76.642 6.476
fresco-only-n-v2 13243 - 189.30198 62.2558300 2.75 5.191 3.259e-18 1.827e-19 -18.681 0.126 36.850 4.062
fresco-only-n-v2 13459 - 189.09769 62.2550500 1.75 5.470 1.516e-18 2.312e-19 -19.632 0.086 41.621 4.547
fresco-only-n-v2 13748 - 189.0459 62.2541500 3.0 5.365 5.299e-18 2.791e-19 -19.269 0.109 78.922 5.023
fresco-only-n-v2 13902 - 189.09185 62.2537500 2.0 5.775 1.727e-18 2.780e-19 -19.925 0.045 77.425 6.268
fresco-only-n-v2 13957 - 189.00865 62.2534900 3.0 5.447 2.156e-18 1.841e-19 -19.923 0.266 78.851 6.404
fresco-only-n-v2 14083 - 189.01373 62.2530900 3.0 5.446 4.496e-18 2.635e-19 -20.152 0.084 168.515 9.113
fresco-only-n-v2 14166 - 189.20622 62.2529500 2.25 5.187 1.537e-18 1.809e-19 -17.657 0.071 39.766 3.790
fresco-only-n-v2 14292 - 189.12995 62.2525200 3.0 5.300 5.794e-18 2.167e-19 -20.499 0.025 127.209 7.551
fresco-only-n-v2 14365 - 189.00738 62.2521400 2.5 5.448 4.968e-18 1.984e-19 -20.644 0.187 285.037 11.284
fresco-only-n-v2 14367 - 189.01246 62.2522600 3.0 5.445 3.522e-18 1.839e-19 -19.693 0.188 77.237 6.698
fresco-only-n-v2 14371 - 189.23103 62.2523300 3.0 5.981 3.948e-18 3.536e-19 -20.000 0.066 75.924 4.523
fresco-only-n-v2 14404 - 189.37141 62.2521200 3.0 6.418 7.499e-18 6.569e-19 -20.318 0.111 224.329 9.791
fresco-only-n-v2 14505 - 189.28942 62.2520000 3.0 5.574 3.153e-18 2.845e-19 -19.510 0.235 60.939 4.830
fresco-only-n-v2 14801 - 189.30256 62.2511200 2.25 5.188 4.855e-18 3.306e-19 -20.474 0.044 344.142 9.396
fresco-only-n-v2 15068 - 189.10625 62.2505400 3.0 5.599 2.877e-18 2.945e-19 -19.684 0.099 57.725 5.197
fresco-only-n-v2 15069 - 189.32789 62.2505400 2.25 5.230 2.132e-18 2.522e-19 -18.879 0.100 28.475 3.902
fresco-only-n-v2 15126 - 189.00666 62.2503000 2.0 5.441 2.723e-18 2.608e-19 -19.726 0.073 108.561 9.150
fresco-only-n-v2 15134 - 189.16394 62.2504400 2.75 5.268 3.838e-18 2.728e-19 -19.202 0.036 62.478 4.643
fresco-only-n-v2 15165 - 189.27239 62.2503600 3.0 5.236 2.704e-18 2.532e-19 -19.536 0.129 54.777 4.945
fresco-only-n-v2 15442 - 189.0031 62.2495200 2.75 5.445 1.004e-17 3.186e-19 -20.152 0.123 321.105 10.161
fresco-only-n-v2 15475 - 189.15437 62.2496800 2.75 5.142 1.382e-18 2.109e-19 -19.840 0.045 44.777 4.729
