#################
# FRESCO HA emitter catalogue v1
# root: GOODS fields identifier: fresco-only-n-v2 and fresco-only-s-v2 for single-component sources; multigalaxies-GN and multigalaxies-GS for multi-component sources
# id: ID from the FRESCO grizli data reduction v7.3
# multi_ids: for multi-component galaxies, id number of each component 
# ra, dec: coordinates of the source in the F210M+F444W image from the FRESCO grizli data reduction v7.3 (also see further Weibel+2024)
# q_mean : Visual inspection quality flag, averaged over 4 inspections
# z : redshift of the HA emitter
# flux_HA, err_HA : grizli best-fit line flux and error using a fixed redshift in cgi units [erg/s/cm**2]
# Muv, Muv_err: rest-frame absolute UV magnitude [AB] and error from the fluxes of filters that lay on the rest-frame UV
# flux_det_img, flux_det_img_err: combined F444W+F210M flux and error in nJy from the FRESCO grizli data reduction v7.3. PSF-matched, aperture-corrected fluxes and errors with 5% error floor (also see further Weibel+2024 for details on the imaging data reduction)
#################
# root id multi_ids ra dec q_mean z flux_HA err_HA Muv Muv_err flux_det_img flux_det_img_err
fresco-only-n-v2 7827 - 189.0720829 62.2734283 3.0 5.145 4.116e-18 1.579e-19 -18.964 0.080 91.840 5.847
fresco-only-n-v2 7888 - 189.3151223 62.2732054 2.75 5.186 5.238e-18 3.197e-19 -20.965 0.054 243.572 6.056
fresco-only-n-v2 7965 - 189.1283031 62.2729680 2.0 5.439 1.345e-18 2.029e-19 -18.669 0.075 28.406 4.561
fresco-only-n-v2 8010 - 189.2893655 62.2728494 3.0 5.699 2.312e-18 3.402e-19 -19.270 0.054 38.418 5.884
fresco-only-n-v2 8288 - 189.2886829 62.2718195 3.0 5.776 3.783e-18 4.768e-19 -20.529 0.054 178.461 6.616
fresco-only-n-v2 8313 - 189.3403019 62.2717614 2.5 5.042 3.444e-18 2.633e-19 -19.288 0.095 45.829 5.791
fresco-only-n-v2 8445 - 189.3316173 62.2711646 3.0 5.304 5.369e-18 2.605e-19 -19.488 0.153 104.908 4.944
fresco-only-n-v2 8479 - 189.327308 62.2710921 2.75 5.195 2.875e-18 2.069e-19 -18.867 0.185 36.683 4.124
fresco-only-n-v2 8545 - 189.2434674 62.2708145 2.5 5.192 3.865e-18 3.347e-19 -20.276 0.066 121.757 5.157
fresco-only-n-v2 8854 - 189.3433002 62.2697810 2.5 5.193 4.162e-18 2.818e-19 -20.574 0.054 126.540 7.219
fresco-only-n-v2 8899 - 189.1888511 62.2699047 3.0 5.017 3.559e-18 2.665e-19 -20.147 0.054 122.859 6.638
fresco-only-n-v2 9088 - 189.2776671 62.2690795 2.0 5.194 4.161e-18 3.574e-19 -18.952 0.083 49.019 4.028
fresco-only-n-v2 9123 - 189.0570633 62.2689377 3.0 5.245 3.099e-18 1.437e-19 -18.212 0.197 111.146 6.011
fresco-only-n-v2 9146 - 189.0687835 62.2688745 2.0 5.474 2.393e-18 2.117e-19 -20.112 0.080 77.116 5.727
fresco-only-n-v2 9252 - 189.088013 62.2687339 2.5 5.142 4.479e-18 3.889e-19 -21.175 0.054 234.551 10.148
fresco-only-n-v2 9299 - 189.2605835 62.2682681 1.75 5.189 1.069e-17 3.723e-19 -20.508 0.087 177.175 5.518
fresco-only-n-v2 9362 - 189.2180797 62.2680845 2.5 5.188 9.526e-18 5.073e-19 -20.969 0.054 334.307 8.140
fresco-only-n-v2 9463 - 189.2732154 62.2677560 2.75 5.192 7.739e-18 4.299e-19 -20.834 0.054 221.615 4.729
fresco-only-n-v2 9492 - 189.3154723 62.2674860 3.0 5.188 8.934e-18 4.905e-19 -20.340 0.058 601.440 11.090
fresco-only-n-v2 9533 - 189.3323078 62.2674280 2.25 5.303 2.461e-18 2.398e-19 -19.846 0.074 112.440 4.385
fresco-only-n-v2 9553 - 189.1950861 62.2675246 3.0 5.677 1.775e-18 2.391e-19 -19.026 0.060 32.593 3.844
fresco-only-n-v2 9566 - 189.0870647 62.2673815 2.25 5.133 3.749e-18 2.802e-19 -19.098 0.083 58.427 7.218
fresco-only-n-v2 9688 - 189.2730063 62.2670383 2.5 5.195 4.111e-18 3.106e-19 -19.242 0.065 53.282 3.459
fresco-only-n-v2 9725 - 189.2766115 62.2669031 1.75 5.225 2.013e-18 2.472e-19 -18.693 0.054 25.528 2.861
fresco-only-n-v2 9944 - 189.3374893 62.2660040 2.25 5.205 2.924e-18 1.593e-19 -19.544 0.054 55.995 4.762
fresco-only-n-v2 10020 - 189.1707973 62.2659761 3.0 6.021 1.358e-18 2.271e-19 -18.721 0.148 26.639 3.067
fresco-only-n-v2 10444 - 189.2480141 62.2644278 3.0 5.016 9.927e-19 1.939e-19 -18.953 0.183 29.359 3.544
fresco-only-n-v2 10502 - 189.1457193 62.2642629 3.0 5.266 3.480e-18 2.058e-19 -20.036 0.072 125.213 7.111
fresco-only-n-v2 10648 - 189.1621089 62.2638189 3.0 6.315 2.804e-18 2.541e-19 -20.594 0.062 100.091 4.687
fresco-only-n-v2 10745 - 189.344287 62.2633653 3.0 5.241 1.623e-17 4.200e-19 -19.282 0.054 299.863 6.263
fresco-only-n-v2 10793 - 189.0395204 62.2632694 2.75 5.591 4.151e-18 2.088e-19 -20.233 0.144 91.861 6.653
fresco-only-n-v2 10878 - 189.0369654 62.2629657 2.25 5.594 1.395e-18 1.781e-19 -18.630 0.181 37.482 5.112
fresco-only-n-v2 10916 - 189.3422657 62.2628119 3.0 5.240 5.427e-18 5.126e-19 -20.932 0.054 284.002 10.018
fresco-only-n-v2 11048 - 189.2569123 62.2626942 3.0 5.350 1.930e-18 3.045e-19 -19.819 0.054 65.598 4.293
fresco-only-n-v2 11445 - 189.3244807 62.2613263 1.75 5.193 2.756e-18 2.294e-19 -20.269 0.066 152.711 8.251
fresco-only-n-v2 11484 - 189.3282006 62.2612039 3.0 5.772 1.919e-18 2.094e-19 -19.464 0.236 45.058 3.716
fresco-only-n-v2 11533 - 189.2541095 62.2610805 3.0 5.017 4.326e-18 3.277e-19 -19.554 0.054 56.900 3.706
fresco-only-n-v2 11671 - 189.1371772 62.2606292 3.0 5.599 3.765e-18 2.200e-19 -19.801 0.079 86.796 4.844
fresco-only-n-v2 11722 - 189.2821788 62.2603808 3.0 5.271 5.647e-18 5.877e-19 -20.519 0.094 259.806 11.550
fresco-only-n-v2 11784 - 189.3133599 62.2602112 1.75 5.158 3.381e-18 2.303e-19 -19.440 0.138 72.146 6.351
fresco-only-n-v2 11879 - 189.3138733 62.2598659 3.0 5.195 7.721e-18 3.142e-19 -20.012 0.102 214.535 7.436
fresco-only-n-v2 11949 - 189.1063943 62.2596981 3.0 5.423 4.631e-18 2.634e-19 -19.793 0.054 98.882 6.199
fresco-only-n-v2 12010 - 189.069439 62.2594357 3.0 5.363 6.791e-18 3.206e-19 -20.682 0.054 200.025 7.702
fresco-only-n-v2 12049 - 189.2005577 62.2594409 3.0 5.601 4.647e-18 2.904e-19 -20.458 0.075 98.163 4.386
fresco-only-n-v2 12165 - 189.3104157 62.2589990 2.25 5.192 5.075e-18 3.293e-19 -21.042 0.070 244.204 11.697
fresco-only-n-v2 12385 - 189.1417793 62.2584289 3.0 4.940 2.854e-18 2.504e-19 -19.811 0.066 67.377 5.846
fresco-only-n-v2 12540 - 189.2961463 62.2579672 3.0 6.405 3.262e-18 3.225e-19 -20.010 0.110 63.572 5.769
fresco-only-n-v2 12650 - 189.3603185 62.2575404 2.5 5.222 5.261e-18 3.516e-19 -20.238 0.054 119.791 7.564
fresco-only-n-v2 12662 - 189.2348335 62.2574771 2.75 5.187 1.242e-17 3.352e-19 -20.688 0.063 278.223 5.068
fresco-only-n-v2 12667 - 189.1601345 62.2575504 2.75 5.188 6.449e-18 4.429e-19 -20.313 0.076 276.271 10.874
fresco-only-n-v2 12926 - 189.0291629 62.2566516 3.0 5.017 1.740e-18 1.566e-19 -19.052 0.103 69.613 5.105
fresco-only-n-v2 12982 - 189.0602006 62.2565163 3.0 5.362 7.347e-18 3.496e-19 -19.761 0.056 147.014 5.862
fresco-only-n-v2 12994 - 189.1330751 62.2565545 3.0 5.271 2.072e-18 1.917e-19 -19.262 0.094 40.939 3.649
fresco-only-n-v2 13046 - 189.328216 62.2563082 3.0 5.306 1.558e-17 5.360e-19 -21.509 0.054 657.713 8.419
fresco-only-n-v2 13064 - 189.2769637 62.2563264 3.0 5.234 3.573e-18 3.160e-19 -20.799 0.054 148.003 6.866
fresco-only-n-v2 13236 - 189.3626955 62.2557865 3.0 5.961 3.283e-18 2.883e-19 -19.830 0.054 76.642 6.476
fresco-only-n-v2 13243 - 189.3019765 62.2558282 2.75 5.191 3.259e-18 1.820e-19 -18.681 0.126 36.850 4.062
fresco-only-n-v2 13459 - 189.0976885 62.2550529 1.75 5.470 1.516e-18 2.312e-19 -19.632 0.086 41.621 4.547
fresco-only-n-v2 13748 - 189.0459016 62.2541454 3.0 5.365 5.299e-18 2.791e-19 -19.269 0.109 78.922 5.023
fresco-only-n-v2 13884 - 189.0275564 62.2537505 2.0 5.017 1.514e-18 1.593e-19 -19.040 0.137 30.787 4.319
fresco-only-n-v2 13902 - 189.0918509 62.2537484 2.0 5.775 1.727e-18 2.780e-19 -19.925 0.054 77.425 6.268
fresco-only-n-v2 13957 - 189.0086453 62.2534935 3.0 5.447 2.156e-18 1.841e-19 -19.923 0.266 78.851 6.404
fresco-only-n-v2 14083 - 189.0137252 62.2530853 3.0 5.446 4.496e-18 2.635e-19 -20.152 0.084 168.515 9.113
fresco-only-n-v2 14166 - 189.2062166 62.2529508 2.25 5.187 1.537e-18 1.809e-19 -17.657 0.071 39.766 3.790
fresco-only-n-v2 14292 - 189.1299535 62.2525243 3.0 5.300 5.794e-18 2.167e-19 -20.499 0.054 127.209 7.551
fresco-only-n-v2 14365 - 189.0073779 62.2521414 2.5 5.448 4.968e-18 1.984e-19 -20.644 0.187 285.037 11.284
fresco-only-n-v2 14367 - 189.0124605 62.2522563 3.0 5.445 3.522e-18 1.839e-19 -19.693 0.188 77.237 6.698
fresco-only-n-v2 14371 - 189.2310326 62.2523347 3.0 5.981 3.948e-18 3.536e-19 -20.000 0.066 75.924 4.523
fresco-only-n-v2 14404 - 189.3714072 62.2521164 3.0 6.418 7.499e-18 6.569e-19 -20.318 0.111 224.329 9.791
fresco-only-n-v2 14505 - 189.2894204 62.2520015 3.0 5.574 3.153e-18 2.845e-19 -19.510 0.235 60.939 4.830
fresco-only-n-v2 14801 - 189.3025624 62.2511236 2.25 5.188 5.063e-18 3.304e-19 -20.474 0.054 344.142 9.396
fresco-only-n-v2 15068 - 189.1062451 62.2505362 3.0 5.599 2.888e-18 2.911e-19 -19.684 0.099 57.725 5.197
fresco-only-n-v2 15069 - 189.327894 62.2505399 2.25 5.230 2.132e-18 2.526e-19 -18.879 0.100 28.475 3.902
fresco-only-n-v2 15126 - 189.0066605 62.2503050 2.0 5.441 2.723e-18 2.608e-19 -19.726 0.073 108.561 9.150
fresco-only-n-v2 15134 - 189.1639376 62.2504364 2.75 5.268 3.838e-18 2.728e-19 -19.202 0.054 62.478 4.643
fresco-only-n-v2 15165 - 189.2723902 62.2503617 3.0 5.236 2.704e-18 2.532e-19 -19.536 0.129 54.777 4.945
fresco-only-n-v2 15442 - 189.003096 62.2495155 2.75 5.445 1.004e-17 3.186e-19 -20.152 0.123 321.105 10.161
fresco-only-n-v2 15475 - 189.1543675 62.2496780 2.75 5.142 1.382e-18 2.109e-19 -19.840 0.054 44.777 4.729
fresco-only-n-v2 15493 - 189.3070225 62.2497438 2.5 5.188 3.822e-18 3.958e-19 -19.480 0.107 63.029 6.320
fresco-only-n-v2 15557 - 189.2421578 62.2494539 3.0 5.849 2.346e-18 3.130e-19 -19.318 0.125 52.139 5.125
fresco-only-n-v2 15612 - 189.2492471 62.2492723 3.0 5.577 1.033e-18 2.262e-19 -19.043 0.122 27.006 4.328
fresco-only-n-v2 15943 - 189.333412 62.2481273 3.0 5.308 6.260e-18 4.567e-19 -19.568 0.141 233.473 12.986
fresco-only-n-v2 15989 - 189.2636516 62.2481772 2.75 5.203 2.975e-18 1.771e-19 -18.501 0.161 35.412 4.172
fresco-only-n-v2 16052 - 189.242553 62.2479931 2.0 5.851 1.997e-18 3.360e-19 -19.544 0.135 61.788 5.685
fresco-only-n-v2 16141 - 189.0392631 62.2476687 2.0 5.703 1.365e-18 2.291e-19 -19.649 0.159 36.011 5.136
fresco-only-n-v2 16152 - 189.3105523 62.2476201 2.75 5.193 8.792e-18 3.753e-19 -20.108 0.085 172.015 6.122
fresco-only-n-v2 16198 - 189.1545502 62.2475480 3.0 5.273 3.953e-18 3.698e-19 -19.783 0.076 132.079 7.538
fresco-only-n-v2 16262 - 189.2810289 62.2473111 3.0 5.538 2.978e-17 2.861e-19 -19.561 0.130 394.493 4.989
fresco-only-n-v2 16453 - 189.1081782 62.2471660 3.0 6.046 3.015e-18 2.270e-19 -18.902 0.082 42.747 3.787
fresco-only-n-v2 16716 - 189.1257532 62.2459722 3.0 5.268 2.153e-18 1.966e-19 -19.579 0.066 50.421 6.056
fresco-only-n-v2 17045 - 189.1336727 62.2449872 3.0 5.259 2.074e-18 2.455e-19 -19.161 0.082 56.080 6.673
fresco-only-n-v2 17066 - 189.3407962 62.2448210 3.0 5.224 5.131e-18 3.502e-19 -19.914 0.067 90.632 6.326
fresco-only-n-v2 17226 - 189.1346251 62.2470183 2.0 5.029 3.940e-18 3.111e-19 -19.702 0.068 113.199 7.721
fresco-only-n-v2 17231 - 189.0158452 62.2443544 2.75 5.313 4.511e-18 3.183e-19 -20.541 0.098 121.441 8.126
fresco-only-n-v2 17353 - 189.0496196 62.2440342 3.0 5.443 1.495e-17 3.947e-19 -20.975 0.054 360.340 9.346
fresco-only-n-v2 17496 - 189.1288562 62.2437723 2.0 5.421 1.771e-18 2.955e-19 -18.790 0.107 34.371 5.504
fresco-only-n-v2 18039 - 189.3722949 62.2422529 1.75 4.940 1.412e-18 1.927e-19 -19.699 0.080 54.166 6.950
fresco-only-n-v2 18074 - 189.1241482 62.2422333 3.0 5.271 4.286e-18 3.177e-19 -19.935 0.054 89.195 8.087
fresco-only-n-v2 18138 - 189.3357995 62.2420410 3.0 5.225 4.931e-18 2.807e-19 -19.464 0.066 73.311 5.610
fresco-only-n-v2 18528 - 189.2114199 62.2410467 2.0 5.692 1.695e-18 3.038e-19 -19.598 0.158 33.248 4.877
fresco-only-n-v2 18644 - 189.1749004 62.2407230 2.0 5.546 2.548e-18 3.008e-19 -19.883 0.089 93.535 6.184
fresco-only-n-v2 18789 - 189.2566323 62.2403114 3.0 5.580 1.973e-18 2.099e-19 -19.600 0.123 49.466 2.942
fresco-only-n-v2 18897 - 189.1194128 62.2399267 3.0 5.296 5.029e-18 3.338e-19 -20.677 0.054 268.289 6.870
fresco-only-n-v2 18900 - 189.3638568 62.2399199 2.0 5.253 2.004e-18 2.059e-19 -19.885 0.054 70.730 5.421
fresco-only-n-v2 19119 - 189.0577706 62.2392774 3.0 5.446 6.570e-18 3.384e-19 -20.473 0.068 167.024 7.603
fresco-only-n-v2 19264 - 189.1808608 62.2388824 2.0 5.545 2.703e-18 3.139e-19 -19.239 0.121 52.923 4.290
fresco-only-n-v2 19319 - 189.156008 62.2387085 3.0 5.437 1.157e-18 1.665e-19 -18.926 0.102 24.605 3.475
fresco-only-n-v2 19331 - 189.1200393 62.2386691 3.0 5.272 6.878e-18 3.179e-19 -20.221 0.054 133.480 7.953
fresco-only-n-v2 19409 - 189.1692718 62.2384727 3.0 5.421 3.685e-18 2.947e-19 -19.450 0.062 137.213 4.645
fresco-only-n-v2 19871 - 189.1261902 62.2371697 1.75 4.928 7.572e-18 5.591e-19 -19.740 0.066 71.995 4.757
fresco-only-n-v2 19972 - 189.2546072 62.2366676 2.25 5.093 2.914e-18 2.131e-19 -19.506 0.058 77.471 7.426
fresco-only-n-v2 19975 - 189.0782865 62.2367784 3.0 6.046 1.816e-18 2.630e-19 -19.332 0.054 45.158 3.924
fresco-only-n-v2 20071 - 189.3143378 62.2364362 2.25 5.091 5.060e-18 4.797e-19 -20.934 0.054 548.740 9.738
fresco-only-n-v2 20116 - 189.1366773 62.2363017 2.5 5.301 9.905e-18 3.599e-19 -19.883 0.100 208.285 5.801
fresco-only-n-v2 20151 - 189.1190409 62.2362495 3.0 5.269 6.565e-18 3.154e-19 -20.814 0.054 170.784 6.468
fresco-only-n-v2 20397 - 189.1179595 62.2355049 3.0 5.268 2.365e-18 2.050e-19 -19.376 0.054 37.792 4.353
fresco-only-n-v2 20487 - 189.2357926 62.2353218 3.0 5.285 3.333e-18 2.081e-19 -19.008 0.060 56.974 3.697
fresco-only-n-v2 21046 - 189.3202954 62.2334320 3.0 5.188 2.590e-17 5.750e-19 -21.373 0.054 572.985 12.803
fresco-only-n-v2 21097 - 189.0936733 62.2348112 2.0 5.245 1.931e-18 1.786e-19 -19.131 0.102 47.923 3.760
fresco-only-n-v2 21278 - 189.2084318 62.2338185 2.0 5.798 4.625e-18 3.995e-19 -19.215 0.150 107.054 7.919
fresco-only-n-v2 21288 - 189.2608202 62.2329530 2.0 5.365 1.304e-18 2.121e-19 -18.925 0.084 20.309 3.683
fresco-only-n-v2 21339 - 189.2604892 62.2327720 3.0 5.362 1.991e-18 2.967e-19 -19.484 0.066 61.176 5.062
fresco-only-n-v2 21531 - 189.2081878 62.2321145 3.0 5.794 2.527e-18 3.405e-19 -20.124 0.054 78.595 6.865
fresco-only-n-v2 21558 - 189.2613103 62.2319453 3.0 5.538 5.886e-18 3.186e-19 -19.578 0.174 123.127 6.138
fresco-only-n-v2 21583 - 189.2070281 62.2319102 2.0 5.796 1.392e-18 2.653e-19 -19.629 0.080 55.603 4.559
fresco-only-n-v2 21592 - 189.1493904 62.2318483 3.0 5.296 6.868e-18 2.440e-19 -20.283 0.054 174.637 4.463
fresco-only-n-v2 21748 - 189.2177674 62.2313807 2.0 5.357 1.114e-18 2.094e-19 -18.940 0.079 43.938 4.405
fresco-only-n-v2 21904 - 189.1003318 62.2308794 2.5 5.198 4.658e-18 3.526e-19 -20.057 0.054 141.175 8.965
fresco-only-n-v2 22086 - 189.1939541 62.2303394 2.0 5.415 1.263e-18 2.277e-19 -18.653 0.054 21.306 4.143
fresco-only-n-v2 22409 - 189.1259116 62.2291500 3.0 5.180 8.934e-18 3.398e-19 -20.843 0.054 323.404 5.777
fresco-only-n-v2 22555 - 189.0480789 62.2286727 1.75 5.854 2.329e-18 3.602e-19 -19.182 0.088 36.921 4.655
fresco-only-n-v2 22726 - 189.1213542 62.2282384 3.0 5.357 3.885e-18 3.166e-19 -19.500 0.113 60.193 4.869
fresco-only-n-v2 22899 - 189.1332925 62.2275070 2.75 5.176 1.281e-17 4.109e-19 -20.973 0.054 550.193 8.293
fresco-only-n-v2 22918 - 189.1306659 62.2275212 2.25 5.174 2.526e-18 1.979e-19 -18.927 0.058 30.271 3.248
fresco-only-n-v2 23106 - 189.1325937 62.2267387 2.75 5.178 4.183e-18 2.395e-19 -19.982 0.054 108.140 3.743
fresco-only-n-v2 23191 - 189.3175508 62.2265107 2.5 4.957 4.150e-18 2.254e-19 -19.680 0.059 67.167 4.898
fresco-only-n-v2 23493 - 189.1103467 62.2254382 3.0 5.347 1.334e-17 4.328e-19 -20.760 0.054 207.710 5.319
fresco-only-n-v2 23520 - 189.2637918 62.2254130 3.0 5.213 2.027e-17 4.319e-19 -20.842 0.054 262.506 7.031
fresco-only-n-v2 23526 - 189.1353638 62.2253548 3.0 5.180 7.808e-18 2.689e-19 -21.059 0.054 218.145 3.957
fresco-only-n-v2 23600 - 189.2374065 62.2281135 3.0 5.612 4.821e-18 2.529e-19 -20.296 0.085 102.050 5.863
fresco-only-n-v2 23652 - 189.11981 62.2250123 2.0 5.171 1.718e-18 1.994e-19 -19.158 0.108 35.314 3.181
