#################
# FRESCO HA emitter catalogue v1
# root: GOODS fields identifier: fresco-only-n-v2 and fresco-only-s-v2 for single-component sources; multigalaxies-GN and multigalaxies-GS for multi-component sources
# id: ID from the FRESCO grizli data reduction v7.3
# multi_ids: for multi-component galaxies, id number of each component 
# ra, dec: coordinates of the source in the F210M+F444W image from the FRESCO grizli data reduction v7.3 (also see further Weibel+2024)
# q_mean : Visual inspection quality flag, averaged over 4 inspections
# z : redshift of the HA emitter
# flux_HA, err_HA : grizli best-fit line flux and error using a fixed redshift in cgi units [erg/s/cm**2]
# Muv, Muv_err: rest-frame absolute UV magnitude [AB] and error from the fluxes of filters that lay on the rest-frame UV
# flux_det_img, flux_det_img_err: combined F444W+F210M flux and error in nJy from the FRESCO grizli data reduction v7.3. PSF-matched, aperture-corrected fluxes and errors with 5% error floor (also see further Weibel+2024 for details on the imaging data reduction)
#################
# root id multi_ids ra dec q_mean z flux_HA err_HA Muv Muv_err flux_det_img flux_det_img_err
fresco-only-n-v2 23812 - 189.1148119 62.2244168 3.0 5.986 4.951e-18 3.683e-19 -20.737 0.054 199.072 4.709
fresco-only-n-v2 23856 - 189.2577239 62.2243342 2.25 5.202 2.743e-18 3.005e-19 -19.340 0.091 62.854 6.114
fresco-only-n-v2 24003 - 189.3214938 62.2237132 1.75 5.200 1.267e-18 1.438e-19 -18.920 0.123 28.144 4.892
fresco-only-n-v2 24012 - 189.3222528 62.2236936 2.75 5.195 7.227e-18 2.417e-19 -20.470 0.056 140.423 5.752
fresco-only-n-v2 24400 - 189.1496766 62.2221204 3.0 5.939 3.813e-18 3.579e-19 -19.936 0.108 94.016 5.750
fresco-only-n-v2 24402 - 189.1494378 62.2219847 2.0 5.176 2.896e-18 3.821e-19 -20.578 0.054 142.998 5.837
fresco-only-n-v2 24442 - 189.3107745 62.2219186 2.75 5.227 5.421e-18 2.628e-19 -20.191 0.062 195.511 6.435
fresco-only-n-v2 24541 - 189.1169378 62.2220741 2.5 5.183 4.254e-18 2.120e-19 -19.970 0.054 97.816 4.170
fresco-only-n-v2 24825 - 189.2229149 62.2205352 1.75 5.541 2.405e-18 2.216e-19 -18.950 0.160 39.059 5.127
fresco-only-n-v2 24851 - 189.2354642 62.2204361 2.75 5.184 3.945e-18 2.568e-19 -19.767 0.054 76.144 3.744
fresco-only-n-v2 24869 - 189.0626761 62.2202768 3.0 4.910 5.370e-18 6.692e-19 -19.751 0.072 99.303 5.365
fresco-only-n-v2 24989 - 189.3163998 62.2198669 2.5 5.413 3.091e-18 2.445e-19 -18.914 0.054 46.691 5.358
fresco-only-n-v2 25365 - 189.248984 62.2183389 1.75 5.171 2.403e-18 3.155e-19 -19.246 0.054 65.453 6.311
fresco-only-n-v2 25654 - 189.1680518 62.2170190 2.0 5.874 2.643e-18 2.788e-19 -18.910 0.099 69.916 6.368
fresco-only-n-v2 25768 - 189.2211926 62.2165143 2.75 5.184 3.471e-18 3.970e-19 -20.004 0.054 121.141 5.835
fresco-only-n-v2 25844 - 189.2549679 62.2162477 2.0 5.347 2.983e-18 3.335e-19 -18.845 0.096 44.551 6.512
fresco-only-n-v2 25846 - 189.2607227 62.2162588 3.0 5.430 2.939e-18 2.313e-19 -18.596 0.054 38.438 4.236
fresco-only-n-v2 25920 - 189.0663614 62.2159271 3.0 5.660 2.726e-18 3.180e-19 -19.763 0.180 74.620 7.430
fresco-only-n-v2 25995 - 189.3002384 62.2156692 2.0 5.063 3.543e-18 2.450e-19 -19.763 0.060 106.628 8.712
fresco-only-n-v2 26092 - 189.2063257 62.2153201 2.5 5.187 5.182e-18 2.943e-19 -20.354 0.054 191.641 9.331
fresco-only-n-v2 26378 - 189.058138 62.2139619 3.0 5.293 2.157e-18 2.888e-19 -20.797 0.054 145.629 7.459
fresco-only-n-v2 26417 - 189.1798051 62.2139054 1.75 5.525 5.172e-18 3.059e-19 -19.835 0.219 42.921 5.228
fresco-only-n-v2 26498 - 189.2068236 62.2134995 3.0 5.535 2.440e-18 1.820e-19 -19.611 0.165 56.573 5.392
fresco-only-n-v2 26540 - 189.2077614 62.2132212 2.75 5.183 8.509e-18 4.276e-19 -20.179 0.054 190.281 7.292
fresco-only-n-v2 26573 - 189.1731432 62.2131563 2.0 4.924 2.720e-18 2.877e-19 -18.938 0.054 40.838 5.145
fresco-only-n-v2 26600 - 189.1886005 62.2130238 3.0 5.429 2.734e-18 2.264e-19 -19.503 0.062 59.739 4.914
fresco-only-n-v2 26689 - 189.0852424 62.2126168 3.0 4.913 7.511e-18 6.475e-19 -20.095 0.054 89.659 4.085
fresco-only-n-v2 26821 - 189.3001474 62.2120645 2.5 5.224 5.444e-18 1.734e-19 -19.214 0.129 179.309 9.386
fresco-only-n-v2 26849 - 189.2262867 62.2118917 3.0 5.307 6.627e-18 4.123e-19 -20.497 0.054 301.333 8.492
fresco-only-n-v2 26916 - 189.1484747 62.2116459 2.0 5.488 2.647e-18 3.019e-19 -19.503 0.278 62.525 7.157
fresco-only-n-v2 26959 - 189.1180728 62.2114115 3.0 5.545 2.109e-18 2.729e-19 -19.028 0.063 26.395 3.771
fresco-only-n-v2 26982 - 189.1392585 62.2112996 2.0 5.608 1.827e-18 3.447e-19 -20.014 0.054 84.313 4.707
fresco-only-n-v2 27086 - 189.3057785 62.2108796 2.5 5.225 1.149e-17 3.386e-19 -21.606 0.054 340.852 51.442
fresco-only-n-v2 27349 - 189.1855885 62.2100266 2.0 5.604 8.978e-19 1.616e-19 -19.301 0.086 32.454 3.458
fresco-only-n-v2 27516 - 189.2664022 62.2091448 2.75 5.222 8.492e-18 3.518e-19 -21.321 0.054 414.156 8.990
fresco-only-n-v2 27660 - 189.1212874 62.2085294 2.75 5.182 5.070e-18 3.547e-19 -19.201 0.061 91.237 5.935
fresco-only-n-v2 27668 - 189.2756849 62.2085193 1.75 5.174 1.753e-18 2.404e-19 -19.292 0.070 50.376 7.150
fresco-only-n-v2 27781 - 189.2613266 62.2080047 3.0 5.227 1.738e-17 4.345e-19 -20.698 0.054 295.734 9.082
fresco-only-n-v2 27842 - 189.2542433 62.2076936 2.75 5.222 3.955e-18 2.443e-19 -19.614 0.060 86.956 5.099
fresco-only-n-v2 27974 - 189.2096473 62.2072540 2.75 5.180 5.244e-18 3.630e-19 -20.124 0.054 103.060 6.611
fresco-only-n-v2 28139 - 189.0970298 62.2063743 2.25 5.186 3.898e-18 4.079e-19 -20.047 0.172 141.735 6.837
fresco-only-n-v2 28145 - 189.0965853 62.2064856 2.75 5.179 3.663e-18 2.169e-19 -18.688 0.194 46.595 3.152
fresco-only-n-v2 28376 - 189.2494022 62.2052888 2.0 5.227 1.107e-17 4.674e-19 -21.408 0.054 604.579 10.601
fresco-only-n-v2 28377 - 189.2491226 62.2051756 3.0 5.224 3.350e-17 7.044e-19 -22.409 0.054 1263.331 17.787
fresco-only-n-v2 28456 - 189.0735956 62.2053559 2.5 5.188 1.946e-18 2.072e-19 -18.732 0.113 35.877 4.229
fresco-only-n-v2 28476 - 189.0860884 62.2046768 2.5 5.165 2.956e-18 2.489e-19 -19.428 0.054 69.967 4.689
fresco-only-n-v2 28488 - 189.2029504 62.2046356 2.75 5.186 3.673e-17 6.873e-19 -21.437 0.054 1136.473 13.103
fresco-only-n-v2 28503 - 189.1254371 62.2048605 3.0 6.004 3.408e-18 3.023e-19 -19.195 0.227 59.084 5.800
fresco-only-n-v2 28561 - 189.2258353 62.2042230 3.0 6.554 1.030e-17 6.618e-19 -20.922 0.054 228.887 7.716
fresco-only-n-v2 28757 - 189.2468963 62.2034304 2.75 5.187 3.980e-18 2.961e-19 -19.235 0.063 111.566 6.026
fresco-only-n-v2 28879 - 189.1227409 62.2028076 3.0 5.425 3.645e-18 3.617e-19 -20.036 0.054 70.576 7.045
fresco-only-n-v2 28978 - 189.2319829 62.2023229 2.0 6.550 3.456e-18 6.008e-19 -19.985 0.065 104.024 8.280
fresco-only-n-v2 29027 - 189.1103259 62.2020576 3.0 5.194 5.622e-18 3.951e-19 -20.280 0.070 212.489 6.582
fresco-only-n-v2 29042 - 189.2118523 62.2020437 2.0 5.023 1.589e-18 2.610e-19 -18.373 0.054 41.337 4.365
fresco-only-n-v2 29070 - 189.2453754 62.2018034 2.0 5.775 1.918e-18 3.191e-19 -20.300 0.127 76.561 7.157
fresco-only-n-v2 29403 - 189.2000206 62.2001929 3.0 4.951 4.386e-18 3.668e-19 -19.357 0.054 72.875 5.528
fresco-only-n-v2 29458 - 189.0840225 62.1997959 1.75 5.402 8.466e-18 4.219e-19 -19.770 0.101 88.658 7.801
fresco-only-n-v2 29509 - 189.1555652 62.2000838 3.0 5.456 1.619e-17 3.516e-19 -20.443 0.103 266.653 9.850
fresco-only-n-v2 29525 - 189.1912511 62.1995022 3.0 5.598 3.651e-18 4.187e-19 -20.232 0.065 91.325 5.702
fresco-only-n-v2 29820 - 189.1563272 62.1977789 2.0 5.606 2.466e-18 2.184e-19 -20.285 0.071 103.707 7.359
fresco-only-n-v2 29840 - 189.1555753 62.1976495 2.0 5.605 1.454e-18 1.622e-19 -19.868 0.066 48.416 3.368
fresco-only-n-v2 29918 - 189.1492503 62.1973298 2.0 6.008 1.637e-18 2.727e-19 -18.446 0.188 28.587 3.779
fresco-only-n-v2 29980 - 189.2538365 62.1970204 2.75 5.224 5.061e-18 2.279e-19 -19.116 0.117 76.389 7.472
fresco-only-n-v2 30004 - 189.1588505 62.1968146 2.0 5.457 2.719e-18 2.126e-19 -20.382 0.168 82.875 8.106
fresco-only-n-v2 30189 - 189.1504457 62.1956988 2.0 6.010 3.120e-18 2.855e-19 -19.579 0.065 61.335 4.619
fresco-only-n-v2 30235 - 189.1872786 62.1954880 3.0 5.601 5.328e-18 3.173e-19 -19.356 0.236 51.594 4.195
fresco-only-n-v2 30244 - 189.1005413 62.1953702 3.0 5.610 7.923e-18 4.189e-19 -20.692 0.159 161.096 8.795
fresco-only-n-v2 30328 - 189.2616656 62.1948972 3.0 5.225 4.297e-18 2.040e-19 -19.746 0.056 97.171 11.372
fresco-only-n-v2 30699 - 189.099337 62.1952718 3.0 5.609 1.465e-18 2.502e-19 -19.573 0.063 44.560 5.061
fresco-only-n-v2 30886 - 189.136218 62.1918257 3.0 5.350 5.040e-18 2.156e-19 -21.236 0.086 216.884 7.038
fresco-only-n-v2 31125 - 189.1414914 62.1902925 3.0 5.609 1.061e-17 2.584e-19 -20.656 0.054 172.386 6.702
fresco-only-n-v2 31145 - 189.1748355 62.1901395 3.0 6.030 7.449e-18 4.344e-19 -20.114 0.054 143.281 7.542
fresco-only-n-v2 31167 - 189.1522317 62.1900241 2.0 5.607 2.007e-18 3.339e-19 -19.958 0.099 54.749 5.297
fresco-only-n-v2 31213 - 189.2171522 62.1896190 1.75 5.293 2.057e-18 2.829e-19 -19.384 0.054 50.837 6.754
fresco-only-n-v2 31301 - 189.10583 62.1888433 2.5 5.162 1.416e-17 3.205e-19 -20.221 0.054 309.639 7.833
fresco-only-n-v2 31358 - 189.1040227 62.1884236 2.5 5.162 4.960e-18 3.591e-19 -20.507 0.157 279.389 14.018
fresco-only-n-v2 31564 - 189.1785899 62.1871983 3.0 5.503 5.076e-18 2.788e-19 -19.649 0.141 96.974 5.864
fresco-only-n-v2 31643 - 189.2108447 62.1866316 2.5 5.421 2.694e-18 2.779e-19 -19.082 0.078 63.551 5.016
fresco-only-n-v2 31971 - 189.1696611 62.1838746 3.0 5.184 5.614e-18 4.113e-19 -20.382 0.054 118.102 8.663
fresco-only-n-v2 32013 - 189.1491546 62.1835698 3.0 5.849 2.453e-18 3.400e-19 -19.456 0.121 48.916 4.653
fresco-only-n-v2 32252 - 189.1403841 62.1815849 3.0 5.277 1.137e-17 4.246e-19 -20.961 0.054 239.961 7.764
fresco-only-n-v2 32389 - 189.1633236 62.1804875 2.25 5.753 2.685e-18 2.944e-19 -19.037 0.246 68.757 6.397
fresco-only-n-v2 32448 - 189.1432104 62.1798556 3.0 5.652 8.852e-18 5.922e-19 -20.545 0.091 258.358 8.430
fresco-only-n-v2 32451 - 189.1839132 62.1799312 1.75 5.232 1.656e-18 2.050e-19 -18.649 0.102 23.359 3.403
fresco-only-n-v2 32485 - 189.1429918 62.1796795 2.0 5.651 1.330e-18 2.305e-19 -18.862 0.524 41.349 5.744
fresco-only-n-v2 32657 - 189.2067038 62.1774907 2.25 5.781 6.273e-18 3.821e-19 -20.924 0.054 313.354 11.020
fresco-only-n-v2 32735 - 189.1574181 62.1765151 3.0 5.610 7.657e-18 3.678e-19 -21.058 0.054 204.138 6.760
fresco-only-n-v2 32810 - 189.1939591 62.1753647 2.75 5.225 2.964e-18 1.873e-19 -18.435 0.054 56.890 5.904
fresco-only-n-v2 32867 - 189.1733897 62.1744927 3.0 5.544 5.497e-18 4.277e-19 -19.488 0.244 158.125 10.431
fresco-only-n-v2 32937 - 189.1719122 62.1732792 2.25 5.361 3.740e-18 3.490e-19 -20.079 0.083 124.938 10.706
fresco-only-n-v2 33015 - 189.1823634 62.1716679 3.0 5.227 2.261e-18 1.953e-19 -19.237 0.080 58.274 7.478
fresco-only-n-v2 33145 - 189.1865271 62.1690911 2.25 5.184 2.087e-18 2.155e-19 -18.984 0.054 53.489 6.996
fresco-only-n-v2 33189 - 189.1438541 62.1682974 2.75 5.885 2.991e-18 3.700e-19 -19.715 0.193 43.494 5.299
fresco-only-n-v2 33222 - 189.1638175 62.1676437 3.0 5.304 7.836e-18 2.668e-19 -20.394 0.054 176.998 5.553
fresco-only-n-v2 33388 - 189.1658396 62.1636295 3.0 5.183 1.926e-17 2.858e-19 -20.815 0.072 381.351 9.214
fresco-only-n-v2 33488 - 189.1518721 62.1602269 1.75 5.313 1.698e-18 1.876e-19 -19.448 0.059 51.079 5.100
multigalaxies-GN 1000001 "[1222, 1223]" 189.1759644 62.3115387 3.0 5.660 1.657e-18 1.967e-19 -20.686 0.125 110.195 7.033
multigalaxies-GN 1000002 "[2090, 2091]" 189.2036438 62.3036041 3.0 5.282 2.511e-18 4.495e-19 -20.731 0.074 296.078 15.607
multigalaxies-GN 1000003 "[2488, 2489]" 189.1650696 62.3002014 3.0 6.562 5.867e-18 4.825e-19 -20.692 0.061 143.832 8.939
multigalaxies-GN 1000004 "[4814, 4815]" 189.1424866 62.2857323 3.0 5.266 1.132e-17 3.527e-19 -20.678 0.054 191.067 7.823
multigalaxies-GN 1000005 "[5795, 5796]" 189.3169556 62.2810211 3.0 5.196 1.979e-17 5.033e-19 -21.463 0.054 408.472 8.953
multigalaxies-GN 1000006 "[10632, 10633]" 189.3154144 62.2638016 2.75 5.197 1.620e-17 3.150e-19 -20.678 0.054 248.837 6.078
multigalaxies-GN 1000007 "[10896, 10912]" 189.290451 62.2629700 3.0 5.847 2.993e-18 3.988e-19 -20.151 0.207 89.832 6.997
multigalaxies-GN 1000008 "[12143, 12144, 12145]" 189.2312164 62.2591248 3.0 5.186 3.148e-17 3.931e-19 -21.805 0.057 504.606 9.652
multigalaxies-GN 1000009 "[14935, 15492]" 189.3534546 62.2507515 3.0 5.311 4.073e-17 5.928e-19 -21.514 0.066 674.632 11.668
multigalaxies-GN 1000010 "[15845, 15846, 15847]" 189.2486572 62.2484589 3.0 5.180 1.204e-17 5.030e-19 -21.336 0.062 554.179 14.647
multigalaxies-GN 1000011 "[19032, 19033]" 189.0886078 62.2395019 3.0 5.443 7.740e-18 3.328e-19 -21.089 0.128 315.402 9.818
multigalaxies-GN 1000012 "[19050, 19091]" 189.0948181 62.2394066 3.0 5.296 1.048e-17 3.803e-19 -20.846 0.054 294.506 9.328
multigalaxies-GN 1000013 "[19366, 19367, 19368]" 189.1195984 62.2385521 3.0 5.275 5.833e-18 4.079e-19 -21.054 0.058 223.046 11.119
multigalaxies-GN 1000014 "[21511, 21512]" 189.3418427 62.2320595 2.0 5.652 3.966e-18 3.998e-19 -21.163 0.073 186.622 12.430
multigalaxies-GN 1000015 "[22501, 22513]" 189.1277161 62.2289047 2.0 5.174 1.872e-18 2.436e-19 -19.899 0.087 59.996 4.653
multigalaxies-GN 1000016 "[22857, 22858]" 189.1134186 62.2276649 3.0 4.910 1.284e-17 1.415e-18 -20.399 0.081 214.146 9.128
multigalaxies-GN 1000017 "[24215, 24216]" 189.106308 62.2228279 3.0 5.344 2.059e-18 3.233e-19 -19.703 0.068 67.540 4.792
multigalaxies-GN 1000018 "[24398, 24399]" 189.2259674 62.2221260 3.0 5.303 3.936e-18 2.466e-19 -20.653 0.054 168.117 10.145
multigalaxies-GN 1000019 "[24889, 24890, 24891]" 189.100708 62.2202148 3.0 5.031 4.368e-18 5.215e-19 -20.666 0.054 204.350 6.985
multigalaxies-GN 1000020 "[28017, 28018]" 189.286438 62.2070274 2.75 5.969 3.679e-18 2.956e-19 -20.369 0.113 120.627 12.245
multigalaxies-GN 1000021 "[28066, 28067]" 189.2856598 62.2067528 3.0 5.228 7.603e-18 3.103e-19 -20.975 0.054 335.116 16.370
multigalaxies-GN 1000022 "[29459, 29460]" 189.0838776 62.1995926 3.0 5.180 2.252e-17 6.425e-19 -21.085 0.054 540.771 9.037
multigalaxies-GN 1000023 "[30160, 30161, 30162]" 189.2167969 62.1957970 2.25 5.183 8.445e-18 5.424e-19 -21.256 0.054 478.995 14.722
multigalaxies-GN 1000024 "[31612, 31625]" 189.175705 62.1867104 2.75 5.184 9.233e-18 6.098e-19 -21.376 0.054 553.001 10.985
multigalaxies-GN 1000025 "[31651, 31764, 31855]" 189.215744 62.1864586 3.0 5.184 1.833e-17 3.917e-19 -21.139 0.054 336.759 11.013
multigalaxies-GN 1000026 "[32236, 32237, 32238]" 189.1946869 62.1816673 2.5 5.183 4.356e-18 4.193e-19 -20.568 0.081 142.650 10.357
multigalaxies-GN 1000027 "[32296, 32297]" 189.2108917 62.1812057 3.0 5.785 1.738e-17 4.760e-19 -21.467 0.054 298.666 10.730
multigalaxies-GN 1000028 "[32518, 32519]" 189.2073517 62.1791878 2.25 5.187 4.932e-18 2.261e-19 -20.292 0.084 176.900 9.883
fresco-only-s-v2 278 - 53.17321612 -27.7313374 3.0 5.195 3.318e-18 3.036e-19 -19.894 0.041 78.259 7.066
fresco-only-s-v2 650 - 53.18860128 -27.7332775 3.0 6.098 1.167e-17 4.729e-19 -21.336 0.054 344.956 7.786
fresco-only-s-v2 1200 - 53.17058576 -27.7356329 2.75 5.248 2.895e-18 2.799e-19 -19.571 0.058 67.358 4.562
fresco-only-s-v2 1308 - 53.11480532 -27.7361164 2.5 4.958 2.222e-18 2.402e-19 -18.808 0.362 31.743 3.625
fresco-only-s-v2 1570 - 53.16859113 -27.7372583 2.25 5.237 1.869e-18 2.050e-19 -18.622 0.066 33.069 3.702
fresco-only-s-v2 1894 - 53.18757326 -27.7364527 2.75 5.368 2.202e-18 1.684e-19 -18.821 0.115 34.901 3.987
fresco-only-s-v2 1925 - 53.06779343 -27.7388684 1.75 5.916 2.784e-18 3.620e-19 -20.100 0.189 83.224 6.581
fresco-only-s-v2 1979 - 53.15819347 -27.7391388 2.0 6.251 2.755e-18 3.256e-19 -18.406 0.067 91.178 3.306
fresco-only-s-v2 2365 - 53.15823772 -27.7409099 2.0 5.746 1.430e-18 1.778e-19 -18.638 0.078 28.152 2.903
fresco-only-s-v2 3025 - 53.15768392 -27.7437388 2.0 5.714 1.529e-18 2.014e-19 -18.897 0.035 37.222 3.579
fresco-only-s-v2 3522 - 53.19177414 -27.7458465 1.75 5.570 1.233e-18 1.466e-19 -18.631 0.104 20.522 5.115
fresco-only-s-v2 3672 - 53.06945607 -27.7465615 3.0 5.500 9.871e-18 2.745e-19 -21.238 0.054 211.659 4.432
fresco-only-s-v2 4025 - 53.08117236 -27.7484546 2.75 5.570 5.905e-18 4.344e-19 -20.316 0.213 184.362 6.946
fresco-only-s-v2 4178 - 53.14735358 -27.7492842 2.75 5.524 2.892e-18 2.743e-19 -20.118 0.064 91.632 4.278
fresco-only-s-v2 4329 - 53.13281352 -27.7501369 2.0 5.047 3.047e-18 2.424e-19 -19.104 0.142 45.608 3.720
fresco-only-s-v2 4930 - 53.14986154 -27.7528161 1.75 5.919 2.101e-18 2.940e-19 -19.675 0.045 58.402 3.823
fresco-only-s-v2 4938 - 53.18021333 -27.7528481 2.5 5.615 2.911e-18 3.095e-19 -20.115 0.050 102.853 4.350
fresco-only-s-v2 5187 - 53.12656585 -27.7539637 2.75 5.543 2.205e-18 1.770e-19 -19.385 0.090 40.918 2.842
fresco-only-s-v2 5429 - 53.17992777 -27.7549395 2.25 5.926 2.735e-18 2.767e-19 -19.718 0.063 58.394 4.298
fresco-only-s-v2 5492 - 53.14195358 -27.7552294 2.0 5.825 1.752e-18 2.638e-19 -20.001 0.051 63.546 3.427
fresco-only-s-v2 5557 - 53.10998297 -27.7555507 2.75 5.383 3.155e-18 2.690e-19 -19.143 0.136 49.320 3.438
fresco-only-s-v2 5620 - 53.08801503 -27.7557614 2.75 5.906 4.145e-18 3.018e-19 -20.527 0.882 91.587 4.375
fresco-only-s-v2 5989 - 53.11964734 -27.7575405 1.75 5.944 1.910e-18 3.148e-19 -19.487 0.214 51.579 4.771
fresco-only-s-v2 6152 - 53.13445394 -27.7565422 2.25 5.446 5.045e-18 2.463e-19 -20.847 0.054 142.266 3.186
fresco-only-s-v2 6195 - 53.14398059 -27.7585060 1.75 4.936 3.025e-18 5.093e-19 -18.611 0.076 42.627 4.992
fresco-only-s-v2 6229 - 53.10550742 -27.7586632 2.75 4.993 4.572e-18 2.854e-19 -19.941 0.049 117.124 4.379
fresco-only-s-v2 6262 - 53.17922296 -27.7587236 1.75 5.788 1.658e-18 2.483e-19 -18.167 0.066 49.700 3.541
fresco-only-s-v2 6557 - 53.1464357 -27.7600387 3.0 4.926 7.047e-18 5.820e-19 -20.340 0.037 230.148 4.900
fresco-only-s-v2 6711 - 53.09516363 -27.7606273 1.75 6.261 2.949e-18 3.710e-19 -20.074 0.100 69.980 3.677
fresco-only-s-v2 6767 - 53.06445223 -27.7610502 2.0 5.942 3.026e-18 2.473e-19 -19.399 0.195 57.273 4.098
fresco-only-s-v2 6782 - 53.10545286 -27.7611286 2.75 5.918 7.005e-18 4.083e-19 -20.511 0.050 124.622 5.014
fresco-only-s-v2 6876 - 53.06154032 -27.7616527 2.25 5.902 3.972e-18 3.073e-19 -21.022 0.069 172.291 9.874
fresco-only-s-v2 7040 - 53.15515729 -27.7607464 2.0 6.309 2.381e-18 3.277e-19 -20.032 0.055 58.040 3.256
fresco-only-s-v2 7238 - 53.15536295 -27.7632827 2.25 5.086 2.062e-18 1.804e-19 -18.341 0.110 30.347 4.020
fresco-only-s-v2 7506 - 53.06816408 -27.7645995 2.0 5.041 1.866e-17 2.978e-19 -20.946 0.102 345.242 5.915
fresco-only-s-v2 7520 - 53.13037872 -27.7645683 2.5 5.545 2.046e-18 1.878e-19 -18.761 0.171 38.682 3.442
fresco-only-s-v2 7860 - 53.15408601 -27.7660684 2.5 5.798 3.053e-18 2.724e-19 -19.451 0.024 57.551 3.027
fresco-only-s-v2 8019 - 53.15585329 -27.7667293 1.75 5.352 2.241e-18 1.581e-19 -19.149 0.073 44.563 3.454
fresco-only-s-v2 8529 - 53.18731861 -27.7688849 2.25 5.982 2.608e-18 2.942e-19 -19.661 0.047 70.999 4.334
fresco-only-s-v2 8776 - 53.18274753 -27.7700736 2.75 5.029 2.789e-18 2.289e-19 -19.482 0.035 71.113 4.823
fresco-only-s-v2 9038 - 53.12328382 -27.7713071 2.25 5.230 3.934e-18 2.864e-19 -19.925 0.075 64.087 3.003
fresco-only-s-v2 9377 - 53.19303316 -27.7722877 2.0 5.574 1.061e-18 1.750e-19 -19.200 0.031 38.588 6.126
fresco-only-s-v2 9409 - 53.07572719 -27.7730294 2.25 5.481 3.354e-18 3.805e-19 -20.001 0.159 85.724 6.242
fresco-only-s-v2 9413 - 53.14197342 -27.7730190 2.0 5.545 2.010e-18 2.311e-19 -18.829 0.035 29.073 4.030
fresco-only-s-v2 9469 - 53.17927537 -27.7733091 2.5 6.104 2.157e-18 2.775e-19 -19.278 0.102 52.353 4.821
fresco-only-s-v2 9544 - 53.07319789 -27.7737063 3.0 5.478 9.812e-18 4.877e-19 -20.857 0.142 370.747 8.302
fresco-only-s-v2 9886 - 53.07090838 -27.7750819 2.75 5.051 5.414e-18 3.592e-19 -19.605 0.168 99.163 5.902
fresco-only-s-v2 10013 - 53.15610147 -27.7758751 2.75 6.096 3.696e-18 4.639e-19 -20.117 0.032 142.970 6.257
fresco-only-s-v2 10766 - 53.10851009 -27.7792396 3.0 5.939 7.371e-18 3.656e-19 -20.139 0.090 196.218 4.603
fresco-only-s-v2 10800 - 53.08288468 -27.7793498 2.0 5.380 2.559e-18 3.143e-19 -18.633 0.102 53.944 5.044
fresco-only-s-v2 10911 - 53.14206593 -27.7798638 3.0 5.921 6.589e-18 3.281e-19 -20.456 0.035 201.374 4.845
fresco-only-s-v2 11160 - 53.1277459 -27.7809694 2.5 5.377 1.925e-18 2.324e-19 -19.156 0.062 51.659 3.859
fresco-only-s-v2 11165 - 53.10760675 -27.7810093 2.25 5.931 3.856e-18 3.882e-19 -19.758 0.067 109.824 5.179
fresco-only-s-v2 11320 - 53.12358244 -27.7817737 2.25 5.083 1.038e-17 4.156e-19 -20.003 0.062 110.691 4.631
fresco-only-s-v2 11731 - 53.15104278 -27.7829478 2.5 5.263 2.395e-18 2.532e-19 -19.932 0.028 76.501 6.095
fresco-only-s-v2 12090 - 53.06544691 -27.7854655 2.5 5.909 3.398e-18 3.428e-19 -20.246 0.035 99.400 4.882
fresco-only-s-v2 12252 - 53.14669681 -27.7862263 2.5 5.523 1.861e-18 2.737e-19 -20.074 0.058 95.080 4.894
fresco-only-s-v2 12271 - 53.08311504 -27.7863442 2.25 6.264 3.871e-18 4.282e-19 -20.029 0.136 65.942 5.481
fresco-only-s-v2 12359 - 53.18626513 -27.7866343 2.5 5.881 2.482e-18 3.497e-19 -19.550 0.077 108.632 7.506
fresco-only-s-v2 12501 - 53.0860564 -27.7874249 2.75 5.384 9.881e-18 3.906e-19 -19.906 0.114 185.886 5.403
fresco-only-s-v2 12552 - 53.12817989 -27.7876767 1.75 5.481 1.310e-18 1.660e-19 -18.643 0.060 20.003 2.422
fresco-only-s-v2 12981 - 53.11628123 -27.7894360 1.75 5.001 3.291e-18 4.203e-19 -19.279 0.033 192.201 4.449
fresco-only-s-v2 13030 - 53.09220678 -27.7895985 3.0 5.036 7.214e-18 3.588e-19 -19.433 0.048 125.437 4.492
fresco-only-s-v2 13579 - 53.12643163 -27.7920024 2.5 5.377 1.218e-18 1.512e-19 -18.604 0.043 27.260 2.812
fresco-only-s-v2 13593 - 53.10277089 -27.7920527 3.0 5.109 3.795e-18 2.024e-19 -19.349 0.090 52.605 2.924
fresco-only-s-v2 13601 - 53.11438507 -27.7921218 2.75 5.448 3.244e-18 3.021e-19 -18.942 0.058 67.125 5.642
fresco-only-s-v2 13615 - 53.17925356 -27.7921624 2.0 5.142 1.961e-18 2.538e-19 -19.233 0.018 45.233 4.068
fresco-only-s-v2 13682 - 53.18061938 -27.7903845 2.5 5.566 1.512e-18 2.228e-19 -18.463 0.168 24.969 4.046
fresco-only-s-v2 14154 - 53.14610616 -27.7945765 2.5 5.929 2.528e-18 2.862e-19 -19.587 0.030 98.379 4.678
fresco-only-s-v2 14637 - 53.13932546 -27.7958782 2.25 5.932 2.311e-18 2.884e-19 -19.983 0.028 61.006 3.195
fresco-only-s-v2 14713 - 53.06531696 -27.7971526 2.0 5.229 5.054e-18 2.651e-19 -20.091 0.091 86.380 6.731
fresco-only-s-v2 14841 - 53.12176521 -27.7976525 2.75 5.940 3.444e-18 2.596e-19 -19.855 0.074 52.781 2.428
